run,random_seed,year,windfarm
1,1,2002,316864.071
1,1,2003,312923.976
1,1,2004,315030.885
1,1,2005,312992.726
1,1,2006,313292.356
1,1,2007,312692.272
1,1,2008,314353.821
1,1,2009,312652.088
1,1,2010,312740.058
1,1,2011,313021.519
1,1,2012,314914.99
1,1,2013,312992.773
1,1,2014,312932.723
1,1,2015,313074.775
1,1,2016,314815.61
1,1,2017,312618.726
1,1,2018,313211.857
1,1,2019,313076.472
1,1,2020,314932.641
1,1,2021,313284.368
2,2,2002,317111.923
2,2,2003,313008.376
2,2,2004,314803.832
2,2,2005,312871.402
2,2,2006,312894.482
2,2,2007,312988.584
2,2,2008,314344.912
2,2,2009,312889.537
2,2,2010,313195.682
2,2,2011,312734.716
2,2,2012,314455.763
2,2,2013,313081.618
2,2,2014,313047.04
2,2,2015,312999.226
2,2,2016,314912.562
2,2,2017,312708.412
2,2,2018,313074.21
2,2,2019,312878.696
2,2,2020,314825.774
2,2,2021,313001.206
3,3,2002,317064.068
3,3,2003,313052.756
3,3,2004,315027.705
3,3,2005,313218.248
3,3,2006,313075.341
3,3,2007,313176.734
3,3,2008,315120.877
3,3,2009,312820.517
3,3,2010,313031.026
3,3,2011,313152.842
3,3,2012,314500.826
3,3,2013,313183.883
3,3,2014,313202.585
3,3,2015,313141.94
3,3,2016,315032.745
3,3,2017,313142.864
3,3,2018,312884.066
3,3,2019,313201.195
3,3,2020,315027.71
3,3,2021,312924.507
4,4,2002,317087.929
4,4,2003,313115.108
4,4,2004,314908.567
4,4,2005,313266.245
4,4,2006,312568.753
4,4,2007,312582.162
4,4,2008,315116.3
4,4,2009,313038.977
4,4,2010,312923.225
4,4,2011,313050.959
4,4,2012,315017.943
4,4,2013,313185.77
4,4,2014,313042.974
4,4,2015,313066.936
4,4,2016,314905.801
4,4,2017,312717.352
4,4,2018,312671.733
4,4,2019,313001.058
4,4,2020,315067.911
4,4,2021,313157.819
5,5,2002,316158.699
5,5,2003,312867.09
5,5,2004,315089.105
5,5,2005,313015.856
5,5,2006,313061.606
5,5,2007,312878.145
5,5,2008,314155.683
5,5,2009,312933.698
5,5,2010,313182.137
5,5,2011,313208.785
5,5,2012,314867.228
5,5,2013,313153.995
5,5,2014,312661.771
5,5,2015,313329.172
5,5,2016,314366.908
5,5,2017,313096.238
5,5,2018,312985.366
5,5,2019,312855.005
5,5,2020,313878.206
5,5,2021,312883.637
6,6,2002,316958.374
6,6,2003,313128.413
6,6,2004,315052.585
6,6,2005,312918.303
6,6,2006,313200.27
6,6,2007,313230.984
6,6,2008,315163.891
6,6,2009,312416.592
6,6,2010,313037.607
6,6,2011,312932.546
6,6,2012,314864.654
6,6,2013,312794.262
6,6,2014,312729.719
6,6,2015,313242.821
6,6,2016,314762.613
6,6,2017,312943.373
6,6,2018,312825.286
6,6,2019,312428.427
6,6,2020,314805.144
6,6,2021,313190.674
7,7,2002,317309.625
7,7,2003,313037.172
7,7,2004,314771.317
7,7,2005,313259.3
7,7,2006,313025.145
7,7,2007,313009.705
7,7,2008,314368.853
7,7,2009,313051.717
7,7,2010,312890.365
7,7,2011,313135.78
7,7,2012,314840.968
7,7,2013,313036.075
7,7,2014,313169.27
7,7,2015,312595.428
7,7,2016,315220.863
7,7,2017,313201.07
7,7,2018,313018.102
7,7,2019,312559.306
7,7,2020,314674.982
7,7,2021,313088.812
8,8,2002,317238.422
8,8,2003,312741.864
8,8,2004,314185.371
8,8,2005,313096.182
8,8,2006,313063.463
8,8,2007,313069.209
8,8,2008,314772.629
8,8,2009,313050.866
8,8,2010,313150.99
8,8,2011,313289.418
8,8,2012,314660.552
8,8,2013,312828.566
8,8,2014,312715.109
8,8,2015,313170.511
8,8,2016,314954.604
8,8,2017,312889.932
8,8,2018,313143.037
8,8,2019,313209.758
8,8,2020,314888.111
8,8,2021,313199.764
9,9,2002,316423.376
9,9,2003,313101.895
9,9,2004,314680.937
9,9,2005,313254.846
9,9,2006,313139.068
9,9,2007,313271.434
9,9,2008,314781.636
9,9,2009,312669.687
9,9,2010,312667.942
9,9,2011,312789.741
9,9,2012,314997.316
9,9,2013,312983.234
9,9,2014,313236.247
9,9,2015,311804.318
9,9,2016,314957.006
9,9,2017,313128.026
9,9,2018,312981.57
9,9,2019,312634.57
9,9,2020,314628.541
9,9,2021,313255.862
10,10,2002,316989.967
10,10,2003,313298.189
10,10,2004,313988.184
10,10,2005,313051.284
10,10,2006,312883.589
10,10,2007,313177.799
10,10,2008,314779.357
10,10,2009,313105.815
10,10,2010,312810.366
10,10,2011,312809.072
