run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,9671978.020833332,1165329.4791078607,0.0,8033208.333333332
1,1,2003,0.0,1168533.6974824702,0.0,16016666.666666664
1,1,2004,9671978.020833332,1171731.5096864565,1304762.4824408067,25788104.920911163
1,1,2005,9671978.020833332,1168528.111100354,0.0,16016666.666666664
1,1,2006,43447082.630978644,1168529.1595829262,1307314.458449412,0.0
1,1,2007,9914171.049680555,1168530.0162870712,0.0,6910166.666666666
1,1,2008,38622811.90045025,1171731.5864435001,1416868.208897742,33126356.481481478
1,1,2009,14495406.020833332,1168530.3765047814,0.0,8031777.777777777
1,1,2010,14495406.020833332,1168530.2308429542,1280169.292194815,16016666.666666664
1,1,2011,33839362.0625,1168529.1860634983,274866.84319444443,16008333.333333332
1,1,2012,24167384.041666668,1171732.0999432185,1305697.718819335,24024999.999999996
1,1,2013,0.0,1168530.8359259902,399840.5984027778,24032925.92592592
1,1,2014,14495406.020833332,1168527.9475382527,1433808.083845555,16024999.999999998
1,1,2015,0.0,1168528.096365497,399817.830625,18274999.999999996
1,1,2016,9671978.020833332,1171732.2163303515,1532084.691355919,13794685.185185185
1,1,2017,0.0,1168533.024157129,399838.4639236111,32956504.418548398
1,1,2018,14495406.020833332,1168531.9527427831,1534785.19986264,15451986.11111111
1,1,2019,38623050.56150863,1168529.2222598435,399863.01043402776,15691666.666666664
1,1,2020,19301513.55500397,1171729.1278213037,1530954.8804718915,16033333.333333332
1,1,2021,9916091.48860648,1168530.4134956526,523566.39479166665,16016666.666666664
2,2,2002,19343956.041666668,1165335.2385868344,0.0,40056703.725146055
2,2,2003,33816752.24375,1168532.5254546548,0.0,16016666.666666664
2,2,2004,22609.81875,1171734.7824261624,1180543.5939454923,26939923.848933097
2,2,2005,14495406.020833332,1168527.532495273,132635.11243055557,29171354.50272857
2,2,2006,14495406.020833332,1168531.237382976,1180569.0052734667,32068457.76474902
2,2,2007,19305782.936386224,1168527.0550342952,124991.54253472222,10760257.715895139
2,2,2008,19304672.28538355,1171729.3435015455,1313230.2847952463,24373191.241253827
2,2,2009,24167384.041666668,1168526.1227581596,124991.18678819445,16024999.999999998
2,2,2010,38622859.78244935,1168529.3045997953,1286588.2699397935,16033333.333333332
2,2,2011,48255732.09124612,1168524.813012442,236050.4559020898,0.0
2,2,2012,0.0,1171727.157436808,1180279.1330058018,8013229.491639302
2,2,2013,9671978.020833332,1168525.690175731,515815.16714532656,16027724.679915931
2,2,2014,14495406.020833332,1168528.9230635962,1149539.0704676828,8009249.930129867
2,2,2015,19343956.041666668,1168526.8595967435,515840.5208347226,16016666.666666664
2,2,2016,38600994.62191582,1171734.7297867476,1258975.5534752018,24011898.077297643
2,2,2017,9655393.119002411,1168526.9857805495,398029.15384296916,24017238.05369885
2,2,2018,24167384.041666668,1168526.3798327472,1142477.0375749944,8001576.731564732
2,2,2019,57929470.19148317,1168528.6895609335,521355.46737918217,16033981.48148148
2,2,2020,9671978.020833332,1171722.6857168127,1143541.7127622112,8024999.999999999
2,2,2021,19343956.041666668,1168524.9994565018,769509.205448276,8022120.370370369
3,3,2002,28968202.222916666,1165337.3504154808,0.0,16046509.259259257
3,3,2003,33822925.31272341,1168532.8489706006,0.0,5929694.444444444
3,3,2004,19343956.041666668,1171730.354755453,1315237.676614612,18110120.37037037
3,3,2005,14495406.020833332,1168531.9376758162,138786.6813888889,24046285.44278713
3,3,2006,0.0,1168528.8188696706,1289471.8198593617,8008333.333333332
3,3,2007,19563511.338407405,1168528.929904754,263225.74956597225,16016666.666666664
3,3,2008,24167384.041666668,1171731.4188553568,1285631.457338397,8008333.333333332
3,3,2009,19327290.5372582,1168530.8396669545,263231.4415104167,16033333.333333332
3,3,2010,28976346.480533525,1168531.0628298903,1140235.1339795964,18356115.286748342
3,3,2011,38620994.165859275,1168528.9015072677,264688.4037354894,16025351.85185185
3,3,2012,24169896.243750002,1171732.0149960013,1164240.0489094341,7999999.999999999
3,3,2013,9649368.202083332,1168528.9752894985,401666.2895833333,16020962.96296296
3,3,2014,19327290.539537452,1168531.5269192797,1288214.3249991797,8018798.261877788
3,3,2015,9671978.020833332,1168529.407630594,401659.1746527778,7999999.999999999
3,3,2016,28976390.043540142,1171731.190816959,1288189.769067683,13533365.740740739
3,3,2017,19343956.041666668,1168527.4042061444,401662.020625,18527724.679915927
3,3,2018,0.0,1168530.7130498118,1288217.0321110962,19238472.771304734
3,3,2019,0.0,1168523.481971715,393578.0365277778,8008333.333333332
3,3,2020,19302539.125855282,1171725.59065834,1285653.2771830622,14727263.888888888
3,3,2021,14497918.222916666,1168524.710121007,392962.59503472224,17309425.925925925
4,4,2002,9671978.020833332,1165334.8167079184,0.0,0.0
4,4,2003,0.0,1168529.3515410044,0.0,16018736.11111111
4,4,2004,19343956.041666668,1171733.7360903309,1307302.6916500726,24039027.777777776
4,4,2005,19343956.041666668,1168532.6209247108,0.0,0.0
4,4,2006,9671978.020833332,1168533.6547213204,1307276.7088255791,16025965.418002635
4,4,2007,0.0,1168530.0725257914,0.0,24246422.13603546
4,4,2008,38621259.78928953,1171729.7866784693,1307318.330153739,0.0
4,4,2009,24147286.425,1168530.8625918203,0.0,16008333.333333332
4,4,2010,19327117.427181147,1168528.476408638,1183338.9102214694,16010893.518518517
4,4,2011,9649368.202083332,1168529.9531457522,125009.6856076389,16027724.614534153
4,4,2012,67839631.50001012,1171731.934169335,1172725.7309172475,0.0
4,4,2013,9671978.020833332,1168530.8160841274,0.0,8008333.333333332
4,4,2014,28977050.087356962,1168524.5859721927,1406296.2423646126,16033333.333333332
4,4,2015,9671978.020833332,1168531.4658596653,124171.19104166667,8008333.333333332
4,4,2016,38623124.72780773,1171731.98034217,1405038.9734344666,0.0
4,4,2017,33800819.645010516,1168527.305161688,124169.76805555556,24031305.555555552
4,4,2018,38600774.96887699,1168526.0027309482,1404513.8845560693,16024875.47947876
4,4,2019,14478830.23993397,1168528.2485335174,264661.18680555554,24022759.259259257
4,4,2020,9671978.020833332,1171728.7571754826,1277891.5126549979,0.0
4,4,2021,24167384.041666668,1168530.7282192444,388740.9306937403,0.0
5,5,2002,38662790.0625,1165336.1901615835,0.0,17115960.710573353
5,5,2003,48277712.33812969,1168529.2363366976,0.0,16041517.341598352
