run,random_seed,time_based_availability,production_based_availability
1,1,0.9848896444160187,0.9848639456549019
2,2,0.9847442428458687,0.9846789069932166
3,3,0.9849069429951041,0.9848230883719026
4,4,0.9849173221425552,0.9847359234110488
5,5,0.9845231950569077,0.9843248026152258
6,6,0.9848862782060345,0.9847978992997465
7,7,0.9846694381795537,0.9844655384844091
8,8,0.9847808036265302,0.984605769113777
9,9,0.9846630797829169,0.9843659388475317
10,10,0.9848518680595295,0.9847034708572628
11,11,0.9845063640069868,0.9843286342334325
12,12,0.9847971671472866,0.9846972551098983
13,13,0.9849723970781298,0.9848746683758323
14,14,0.9849310674999906,0.9848713325372754
15,15,0.9846478383321552,0.9844132657117183
16,16,0.9848672030161242,0.9848135238933662
17,17,0.9847143209793426,0.9843635461791094
18,18,0.9847199313293163,0.984542399901757
19,19,0.9850200850529056,0.9848917912754965
20,20,0.9845851894241163,0.9843150889507157
21,21,0.984624181356433,0.9842743086048151
22,22,0.984592482879082,0.9844698108793564
23,23,0.9848434525345691,0.9845839011457606
24,24,0.9846029555323661,0.9844764720916851
25,25,0.9847588297558002,0.984617056765656
26,26,0.9847079625827059,0.9845094925065595
27,27,0.9847584557324686,0.9846424077489643
28,28,0.9848746834827556,0.9847916482232681
29,29,0.9848080138239024,0.9845793850469022
30,30,0.9847989437581116,0.9845393273571885
