run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2002,blade,repair,2242,0,1334.0416666666667,3576.041666666667
1,1,2002,converter,repair,16146,0,7203.825,23349.825
1,1,2002,drivetrain,delay,0,0,67724.27488194444,67724.27488194444
1,1,2002,drivetrain,repair,76245,0,1214941.2666666666,1291186.2666666666
1,1,2002,generator,delay,0,0,6796.979348379628,6796.979348379628
1,1,2002,generator,repair,14352,0,7470.633333333333,21822.63333333333
1,1,2002,pitch_system,delay,0,0,16351.645162037035,16351.645162037035
1,1,2002,pitch_system,repair,67250,0,53361.66666666666,120611.66666666666
1,1,2002,yaw_system,delay,0,0,1359.4255150462961,1359.4255150462961
1,1,2002,yaw_system,repair,13452,0,11205.949999999999,24657.949999999997
1,1,2003,blade,delay,0,0,49817.822035879624,49817.822035879624
1,1,2003,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2003,blade,repair,2242,0,1334.0416666666665,3576.0416666666665
1,1,2003,converter,delay,0,0,28670.222968749997,28670.222968749997
1,1,2003,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2003,converter,repair,8970,0,4002.125,12972.125
1,1,2003,drivetrain,delay,0,0,76601.37657754628,76601.37657754628
1,1,2003,drivetrain,maintenance,71760,0,53361.666666666664,125121.66666666667
1,1,2003,drivetrain,repair,40365,0,19210.199999999997,59575.2
1,1,2003,generator,delay,0,0,47045.75756597222,47045.75756597222
1,1,2003,generator,maintenance,52455,0,41622.1,94077.1
1,1,2003,generator,repair,62790,0,1600000.0,1662790.0
1,1,2003,pitch_system,delay,0,0,78833.00594560185,78833.00594560185
1,1,2003,pitch_system,maintenance,35880,0,32016.999999999996,67897.0
1,1,2003,pitch_system,repair,68595,0,54428.899999999994,123023.9
1,1,2003,yaw_system,delay,0,0,40195.12009722222,40195.12009722222
1,1,2003,yaw_system,maintenance,26880,0,26680.833333333332,53560.833333333336
1,1,2003,yaw_system,repair,5605,0,4669.145833333333,10274.145833333332
1,1,2004,array cable,delay,0,0,663559.41265625,663559.41265625
1,1,2004,array cable,maintenance,165000,0,507152.25,672152.25
1,1,2004,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2004,blade,delay,0,0,48018.57039467592,48018.57039467592
1,1,2004,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2004,blade,repair,6726,0,4002.125,10728.125
1,1,2004,converter,delay,0,0,33285.525398148144,33285.525398148144
1,1,2004,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2004,converter,repair,16146,0,7203.825,23349.825
1,1,2004,drivetrain,delay,0,0,4062374.1109143523,4062374.1109143523
1,1,2004,drivetrain,maintenance,68172,0,50693.58333333333,118865.58333333333
1,1,2004,drivetrain,repair,255645,0,6014941.266666667,6270586.266666667
1,1,2004,generator,delay,0,0,51315.80260069444,51315.80260069444
1,1,2004,generator,maintenance,53800,0,42689.33333333333,96489.33333333333
1,1,2004,generator,repair,3588,0,1867.6583333333333,5455.658333333333
1,1,2004,pitch_system,delay,0,0,78538.70153124999,78538.70153124999
1,1,2004,pitch_system,maintenance,35880,0,32017.0,67897.0
1,1,2004,pitch_system,repair,60525,0,48025.49999999999,108550.5
1,1,2004,yaw_system,delay,0,0,28887.004739583328,28887.004739583328
1,1,2004,yaw_system,maintenance,26880,0,26680.833333333332,53560.833333333336
1,1,2004,yaw_system,repair,4484,0,3735.3166666666666,8219.316666666666
1,1,2005,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2005,blade,delay,0,0,48459.17471180555,48459.17471180555
1,1,2005,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2005,blade,repair,2242,0,1334.0416666666665,3576.0416666666665
1,1,2005,converter,delay,0,0,34097.32680902778,34097.32680902778
1,1,2005,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2005,converter,repair,16146,0,7203.825,23349.825
1,1,2005,drivetrain,delay,0,0,68809.94328009259,68809.94328009259
1,1,2005,drivetrain,maintenance,69966,0,52027.625,121993.625
1,1,2005,drivetrain,repair,67275,0,1210672.3333333333,1277947.3333333333
1,1,2005,generator,delay,0,0,48224.27220833333,48224.27220833333
1,1,2005,generator,maintenance,53800,0,42689.33333333333,96489.33333333333
1,1,2005,generator,repair,34983,0,801867.6583333333,836850.6583333333
1,1,2005,pitch_system,delay,0,0,72827.11330555554,72827.11330555554
1,1,2005,pitch_system,maintenance,35880,0,32017.0,67897.0
1,1,2005,pitch_system,repair,65905,0,52294.43333333333,118199.43333333332
1,1,2005,yaw_system,delay,0,0,34527.33290625,34527.33290625
1,1,2005,yaw_system,maintenance,26880,0,26680.833333333332,53560.833333333336
1,1,2005,yaw_system,repair,6726,0,5602.975,12328.974999999999
1,1,2006,array cable,delay,0,0,631727.92484375,631727.92484375
1,1,2006,array cable,maintenance,160000,0,491784.0,651784.0
1,1,2006,array cable,repair,30000000,0,43410852.0,73410852.0
1,1,2006,blade,delay,0,0,52377.180973379625,52377.180973379625
1,1,2006,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2006,blade,repair,2242,0,1334.0416666666667,3576.041666666667
1,1,2006,converter,delay,0,0,30808.28413657407,30808.28413657407
1,1,2006,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2006,converter,repair,14352,0,6403.4,20755.4
1,1,2006,drivetrain,delay,0,0,65894.35816087962,65894.35816087962
1,1,2006,drivetrain,maintenance,71760,0,53361.666666666664,125121.66666666667
1,1,2006,drivetrain,repair,13455,0,6403.4,19858.4
1,1,2006,export cable,delay,0,0,34245.939496527775,34245.939496527775
1,1,2006,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2006,generator,delay,0,0,53859.783002314805,53859.783002314805
1,1,2006,generator,maintenance,53800,0,42689.33333333333,96489.33333333333
1,1,2006,generator,repair,10764,0,5602.975,16366.974999999999
1,1,2006,pitch_system,delay,0,0,63096.46516203703,63096.46516203703
1,1,2006,pitch_system,maintenance,35880,0,32017.0,67897.0
1,1,2006,pitch_system,repair,43040,0,34151.46666666666,77191.46666666666
1,1,2006,yaw_system,delay,0,0,30228.198351851846,30228.198351851846
1,1,2006,yaw_system,maintenance,26880,0,26680.833333333332,53560.833333333336
1,1,2006,yaw_system,repair,6726,0,5602.974999999999,12328.974999999999
1,1,2007,array cable,delay,0,0,242193.02884722222,242193.02884722222
1,1,2007,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2007,blade,delay,0,0,46628.42486458333,46628.42486458333
1,1,2007,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2007,blade,repair,2242,0,1334.0416666666665,3576.0416666666665
1,1,2007,converter,delay,0,0,31054.600107638886,31054.600107638886
1,1,2007,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2007,converter,repair,10764,0,4802.549999999999,15566.550000000001
1,1,2007,drivetrain,delay,0,0,66899.63267013888,66899.63267013888
1,1,2007,drivetrain,maintenance,69966,0,52027.625,121993.625
1,1,2007,drivetrain,repair,26910,0,12806.8,39716.8
1,1,2007,generator,delay,0,0,2152184.8832060187,2152184.8832060187
1,1,2007,generator,maintenance,53800,0,42689.33333333333,96489.33333333333
1,1,2007,generator,repair,34983,0,801867.6583333333,836850.6583333333
1,1,2007,pitch_system,delay,0,0,69433.23719212961,69433.23719212961
1,1,2007,pitch_system,maintenance,35880,0,32017.0,67897.0
1,1,2007,pitch_system,repair,40350,0,32016.999999999996,72367.0
1,1,2007,yaw_system,delay,0,0,34261.33982060185,34261.33982060185
1,1,2007,yaw_system,maintenance,26880,0,26680.833333333332,53560.833333333336
1,1,2007,yaw_system,repair,10089,0,8404.4625,18493.462499999998
1,1,2008,array cable,delay,0,0,660010.4852951389,660010.4852951389
1,1,2008,array cable,maintenance,160000,0,491784.0,651784.0
1,1,2008,array cable,repair,25000000,0,38587424.0,63587424.0
1,1,2008,blade,delay,0,0,47953.943487268516,47953.943487268516
1,1,2008,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2008,blade,repair,4484,0,2668.083333333333,7152.083333333334
1,1,2008,converter,delay,0,0,30348.37327199074,30348.37327199074
1,1,2008,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2008,converter,repair,14352,0,6403.4,20755.4
1,1,2008,drivetrain,delay,0,0,1228047.999707176,1228047.999707176
1,1,2008,drivetrain,maintenance,69966,0,52027.625,121993.625
1,1,2008,drivetrain,repair,219765,0,4819210.2,5038975.2
1,1,2008,export cable,delay,0,0,16648.9375,16648.9375
1,1,2008,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2008,generator,delay,0,0,54328.29102430555,54328.29102430555
1,1,2008,generator,maintenance,53800,0,42689.33333333333,96489.33333333333
1,1,2008,generator,repair,3588,0,1867.658333333333,5455.658333333333
1,1,2008,pitch_system,delay,0,0,83486.29150578703,83486.29150578703
1,1,2008,pitch_system,maintenance,35880,0,32017.0,67897.0
1,1,2008,pitch_system,repair,59180,0,46958.26666666666,106138.26666666666
1,1,2008,yaw_system,delay,0,0,34268.30648263889,34268.30648263889
1,1,2008,yaw_system,maintenance,26880,0,26680.833333333332,53560.833333333336
1,1,2008,yaw_system,repair,10089,0,8404.4625,18493.462499999998
1,1,2009,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2009,blade,delay,0,0,42454.46788657407,42454.46788657407
1,1,2009,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2009,blade,repair,4484,0,2668.0833333333335,7152.083333333334
1,1,2009,converter,delay,0,0,33337.36773958333,33337.36773958333
1,1,2009,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2009,converter,repair,16146,0,7203.825,23349.825
1,1,2009,drivetrain,delay,0,0,697601.3378946759,697601.3378946759
1,1,2009,drivetrain,maintenance,69966,0,52027.625,121993.625
1,1,2009,drivetrain,repair,94185,0,1223479.1333333333,1317664.1333333333
1,1,2009,generator,delay,0,0,46539.970490740736,46539.970490740736
1,1,2009,generator,maintenance,53800,0,42689.33333333333,96489.33333333333
1,1,2009,pitch_system,delay,0,0,62016.33609259259,62016.33609259259
1,1,2009,pitch_system,maintenance,35880,0,32016.999999999996,67897.0
1,1,2009,pitch_system,repair,37660,0,29882.53333333333,67542.53333333333
1,1,2009,yaw_system,delay,0,0,40211.980901620365,40211.980901620365
1,1,2009,yaw_system,maintenance,26880,0,26680.833333333332,53560.833333333336
1,1,2009,yaw_system,repair,13452,0,11205.949999999999,24657.949999999997
1,1,2010,array cable,delay,0,0,597541.7507638889,597541.7507638889
1,1,2010,array cable,maintenance,150000,0,461047.5,611047.5
1,1,2010,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2010,blade,delay,0,0,51958.1807199074,51958.1807199074
1,1,2010,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2010,blade,repair,2242,0,1334.0416666666665,3576.0416666666665
1,1,2010,converter,delay,0,0,34798.47687499999,34798.47687499999
1,1,2010,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2010,converter,repair,10764,0,4969.824002314815,15733.824002314816
1,1,2010,drivetrain,delay,0,0,90664.14452546295,90664.14452546295
1,1,2010,drivetrain,maintenance,66378,0,49359.541666666664,115737.54166666667
1,1,2010,drivetrain,repair,103155,0,2406403.4,2509558.4
1,1,2010,export cable,delay,0,0,16648.9375,16648.9375
1,1,2010,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2010,generator,delay,0,0,57609.4776736111,57609.4776736111
1,1,2010,generator,maintenance,52455,0,41622.1,94077.1
1,1,2010,generator,repair,14352,0,7470.633333333333,21822.63333333333
1,1,2010,pitch_system,delay,0,0,69964.29694560185,69964.29694560185
1,1,2010,pitch_system,maintenance,35880,0,32016.999999999996,67897.0
1,1,2010,pitch_system,repair,63215,0,50159.96666666666,113374.96666666666
1,1,2010,yaw_system,delay,0,0,35558.1765474537,35558.1765474537
1,1,2010,yaw_system,maintenance,26880,0,26680.833333333332,53560.833333333336
1,1,2010,yaw_system,repair,8968,0,7470.633333333333,16438.63333333333
1,1,2011,array cable,delay,0,0,27037.803350694445,27037.803350694445
1,1,2011,array cable,maintenance,10000,0,30736.5,40736.5
1,1,2011,array cable,repair,20000000,0,33763996.0,53763996.0
1,1,2011,blade,delay,0,0,51998.424310185175,51998.424310185175
1,1,2011,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2011,blade,repair,2242,0,1334.0416666666665,3576.0416666666665
1,1,2011,converter,delay,0,0,35337.133254629625,35337.133254629625
1,1,2011,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2011,converter,repair,14352,0,6236.125997685185,20588.125997685187
1,1,2011,drivetrain,delay,0,0,1289450.164221065,1289450.164221065
1,1,2011,drivetrain,maintenance,69966,0,52027.625,121993.625
1,1,2011,drivetrain,repair,76245,0,1214941.2666666668,1291186.2666666668
1,1,2011,generator,delay,0,0,47029.600839120365,47029.600839120365
1,1,2011,generator,maintenance,52455,0,41622.1,94077.1
1,1,2011,generator,repair,34983,0,801867.6583333333,836850.6583333333
1,1,2011,pitch_system,delay,0,0,67226.62110532407,67226.62110532407
1,1,2011,pitch_system,maintenance,35880,0,32016.999999999996,67897.0
1,1,2011,pitch_system,repair,73975,0,58697.83333333332,132672.83333333334
1,1,2011,yaw_system,delay,0,0,34747.968575231476,34747.968575231476
1,1,2011,yaw_system,maintenance,26880,0,26680.833333333332,53560.833333333336
1,1,2011,yaw_system,repair,5605,0,4669.145833333333,10274.145833333332
1,1,2012,array cable,delay,0,0,630590.9589409722,630590.9589409722
1,1,2012,array cable,maintenance,150000,0,461047.5,611047.5
1,1,2012,array cable,repair,15000000,0,24117140.0,39117140.0
1,1,2012,blade,delay,0,0,54792.05578703703,54792.05578703703
1,1,2012,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2012,blade,repair,6726,0,4002.125,10728.125
1,1,2012,converter,delay,0,0,28100.32778009259,28100.32778009259
1,1,2012,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2012,converter,repair,14352,0,6403.4,20755.4
1,1,2012,drivetrain,delay,0,0,1181525.6949363425,1181525.6949363425
1,1,2012,drivetrain,maintenance,69966,0,52027.625,121993.625
1,1,2012,drivetrain,repair,188370,0,3625613.5999999996,3813983.5999999996
1,1,2012,export cable,delay,0,0,16648.9375,16648.9375
1,1,2012,export cable,maintenance,10000,0,15368.249999999998,25368.25
1,1,2012,generator,delay,0,0,54214.74925578703,54214.74925578703
1,1,2012,generator,maintenance,53800,0,42689.33333333333,96489.33333333333
1,1,2012,generator,repair,17940,0,9338.291666666666,27278.291666666664
1,1,2012,pitch_system,delay,0,0,75461.40091666665,75461.40091666665
1,1,2012,pitch_system,maintenance,35880,0,32016.999999999996,67897.0
1,1,2012,pitch_system,repair,61870,0,49092.73333333333,110962.73333333334
1,1,2012,yaw_system,delay,0,0,36787.8294537037,36787.8294537037
1,1,2012,yaw_system,maintenance,26880,0,26680.833333333332,53560.833333333336
1,1,2012,yaw_system,repair,15694,0,13073.608333333334,28767.60833333333
1,1,2013,array cable,delay,0,0,43691.36555555556,43691.36555555556
1,1,2013,array cable,maintenance,15000,0,46104.75,61104.75
1,1,2013,blade,delay,0,0,51535.91947569444,51535.91947569444
1,1,2013,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2013,blade,repair,4484,0,2668.083333333333,7152.083333333334
1,1,2013,converter,delay,0,0,31125.897223379627,31125.897223379627
1,1,2013,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2013,converter,repair,16146,0,7203.824999999999,23349.825
1,1,2013,drivetrain,delay,0,0,298535.20679398143,298535.20679398143
1,1,2013,drivetrain,maintenance,69966,0,52027.625,121993.625
1,1,2013,drivetrain,repair,121095,0,2414941.266666666,2536036.266666666
1,1,2013,generator,delay,0,0,1945697.7825752315,1945697.7825752315
1,1,2013,generator,maintenance,52455,0,41622.09999999999,94077.09999999999
1,1,2013,generator,repair,34983,0,801867.6583333334,836850.6583333334
1,1,2013,pitch_system,delay,0,0,70981.1702060185,70981.1702060185
1,1,2013,pitch_system,maintenance,35880,0,32017.0,67897.0
1,1,2013,pitch_system,repair,56490,0,44823.799999999996,101313.8
1,1,2013,yaw_system,delay,0,0,36183.80503240741,36183.80503240741
1,1,2013,yaw_system,maintenance,26880,0,26680.833333333332,53560.833333333336
1,1,2013,yaw_system,repair,5605,0,4669.145833333333,10274.145833333332
1,1,2014,array cable,delay,0,0,617545.3780208334,617545.3780208334
1,1,2014,array cable,maintenance,155000,0,476415.75,631415.75
1,1,2014,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2014,blade,delay,0,0,53592.15942129629,53592.15942129629
1,1,2014,blade,maintenance,17920,0,42689.33333333333,60609.33333333333
1,1,2014,blade,repair,8968,0,5336.166666666666,14304.166666666668
1,1,2014,converter,delay,0,0,30018.45735648148,30018.45735648148
1,1,2014,converter,maintenance,17920,0,21344.666666666664,39264.666666666664
1,1,2014,converter,repair,10764,0,4802.549999999999,15566.550000000001
1,1,2014,drivetrain,delay,0,0,2426962.163122685,2426962.163122685
1,1,2014,drivetrain,maintenance,71760,0,53361.666666666664,125121.66666666667
1,1,2014,drivetrain,repair,103155,0,2406403.4,2509558.4
1,1,2014,export cable,delay,0,0,33926.83486111111,33926.83486111111
1,1,2014,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2014,generator,delay,0,0,46555.97899074074,46555.97899074074
