run,random_seed,year,operations_management_administration,insurance,annual_leases_fees,operating_facilities,environmental_health_safety_monitoring,onshore_electrical_maintenance,labor
1,1,2002,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2003,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2004,5064637.808219177,4009504.9315068484,573992.2849315068,358745.1780821918,0.0,0.0,1055132.8767123288
1,1,2005,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2006,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2007,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2008,5064637.808219177,4009504.9315068484,573992.2849315068,358745.1780821918,0.0,0.0,1055132.8767123288
1,1,2009,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2010,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2011,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2012,5064637.808219177,4009504.9315068484,573992.2849315068,358745.1780821918,0.0,0.0,1055132.8767123288
1,1,2013,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2014,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2015,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2016,5064637.808219177,4009504.9315068484,573992.2849315068,358745.1780821918,0.0,0.0,1055132.8767123288
1,1,2017,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2018,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2019,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
1,1,2020,5064637.808219177,4009504.9315068484,573992.2849315068,358745.1780821918,0.0,0.0,1055132.8767123288
1,1,2021,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2002,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2003,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2004,5064637.808219177,4009504.9315068484,573992.2849315068,358745.1780821918,0.0,0.0,1055132.8767123288
2,2,2005,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2006,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2007,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2008,5064637.808219177,4009504.9315068484,573992.2849315068,358745.1780821918,0.0,0.0,1055132.8767123288
2,2,2009,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2010,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2011,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2012,5064637.808219177,4009504.9315068484,573992.2849315068,358745.1780821918,0.0,0.0,1055132.8767123288
2,2,2013,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2014,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2015,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2016,5064637.808219177,4009504.9315068484,573992.2849315068,358745.1780821918,0.0,0.0,1055132.8767123288
2,2,2017,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2018,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2019,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
2,2,2020,5064637.808219177,4009504.9315068484,573992.2849315068,358745.1780821918,0.0,0.0,1055132.8767123288
2,2,2021,5050799.999999999,3998549.999999999,572424.0,357765.0,0.0,0.0,1052250.0
