run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,7233960.0,2000000.0,18870515.83327453,0,5189687,33294162.83327453
1,1,2003,7233960.0,2000000.0,17185200.364149135,0,411382,26830542.364149135
1,1,2004,7253779.06849315,2000000.0,37936576.93387176,0,5732686,52923042.00236491
1,1,2005,7233960.0,2000000.0,26857172.798600353,0,5415643,41506775.79860035
1,1,2006,7233960.0,2000000.0,45922926.24901098,0,30484739,85641625.24901098
1,1,2007,7233960.0,2000000.0,17992867.73263429,0,5347704,32574531.73263429
1,1,2008,7253779.06849315,2000000.0,74337768.17727298,0,25703824,109295371.24576613
1,1,2009,7233960.0,2000000.0,23695714.17511589,0,10388293,43317967.17511589
1,1,2010,7233960.0,2000000.0,32960772.210537765,0,10580129,52774861.21053776
1,1,2011,7233960.0,2000000.0,51291091.425091274,0,20438423,80963474.42509127
1,1,2012,7253779.06849315,2000000.0,50669813.86042922,0,15687318,75610910.92892237
1,1,2013,7233960.0,2000000.0,25601297.36025469,0,474824,35310081.36025469
1,1,2014,7233960.0,2000000.0,33122742.05221714,0,10600149,52956851.05221714
1,1,2015,7233960.0,2000000.0,19843345.926990494,0,466074,29543379.926990494
1,1,2016,7253779.06849315,2000000.0,26170480.11370479,0,5556585,40980844.18219794
1,1,2017,7233960.0,2000000.0,34524875.90662914,0,534252,44293087.90662914
1,1,2018,7233960.0,2000000.0,32650709.284549866,0,10576385,52461054.28454986
1,1,2019,7233960.0,2000000.0,55883109.46086917,0,25468763,90585832.46086916
1,1,2020,7253779.06849315,2000000.0,38037530.896630496,0,5588583,52879892.965123646
1,1,2021,7233960.0,2000000.0,27624854.963560466,0,10454260,47313074.96356046
2,2,2002,7233960.0,2000000.0,60565995.00539956,0,10384120,80184075.00539955
2,2,2003,7233960.0,2000000.0,51001951.43587132,0,15434930,75670841.43587132
2,2,2004,7253779.06849315,2000000.0,29314812.04405475,0,5777981,44346572.112547904
2,2,2005,7233960.0,2000000.0,44967923.168487735,0,10581654,64783537.168487735
2,2,2006,7233960.0,2000000.0,48912964.028238796,0,10712441,68859365.0282388
2,2,2007,7233960.0,2000000.0,31359559.24985038,0,10459437,51052956.24985038
2,2,2008,7253779.06849315,2000000.0,46162823.15493417,0,10693962,66110564.22342732
2,2,2009,7233960.0,2000000.0,41485901.351213016,0,15426698,66146559.351213016
2,2,2010,7233960.0,2000000.0,57111310.69032227,0,25617128,91962398.69032228
2,2,2011,7233960.0,2000000.0,49660307.360160656,0,30366062,89260329.36016065
