run,random_seed,year,windfarm
1,1,2002,336707.485
1,1,2003,366931.693
1,1,2004,445901.431
1,1,2005,498893.745
1,1,2006,565485.44
1,1,2007,587205.161
1,1,2008,590260.191
1,1,2009,587210.964
1,1,2010,586953.416
1,1,2011,586208.817
1,1,2012,588988.297
1,1,2013,586471.476
1,1,2014,587017.473
1,1,2015,586803.501
1,1,2016,589417.093
1,1,2017,587071.998
1,1,2018,587186.864
1,1,2019,586597.462
1,1,2020,590577.19
1,1,2021,585896.632
2,2,2002,883108.4
2,2,2003,944196.528
2,2,2004,996477.419
2,2,2005,1006447.656
2,2,2006,587086.392
2,2,2007,587157.4
2,2,2008,589900.186
2,2,2009,586818.465
2,2,2010,587488.355
2,2,2011,586557.34
2,2,2012,589828.84
2,2,2013,587269.227
2,2,2014,587372.765
2,2,2015,585858.746
2,2,2016,589737.007
2,2,2017,586119.365
2,2,2018,586565.942
2,2,2019,587332.958
2,2,2020,590751.289
2,2,2021,587195.258
