run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,17225212.000000004,2000000.0,18845645.08871455,0,5428792,43499649.088714555
1,1,2003,17225212.000000004,2000000.0,49362793.713271074,0,10980902,79568907.71327108
1,1,2004,17272404.36164384,2000000.0,55094676.13417035,0,26417388,100784468.49581419
1,1,2005,17225212.000000004,2000000.0,47054042.123892896,0,16085846,82365100.1238929
1,1,2006,17225212.000000004,2000000.0,30070720.319728293,0,11114093,60410025.3197283
1,1,2007,17225212.000000004,2000000.0,49618365.97399332,0,16013067,84856644.97399332
1,1,2008,17272404.36164384,2000000.0,46145167.803323254,0,11376685,76794257.16496709
1,1,2009,17225212.000000004,2000000.0,36890904.47553708,0,10980991,67097107.47553708
1,1,2010,17225212.000000004,2000000.0,30073741.92454056,0,11124407,60423360.924540564
1,1,2011,17225212.000000004,2000000.0,45182232.19395231,0,11006380,75413824.1939523
1,1,2012,17272404.36164384,2000000.0,46144748.40606613,0,11294473,76711625.76770997
1,1,2013,17225212.000000004,2000000.0,17593970.177560803,0,983409,37802591.177560806
1,1,2014,17225212.000000004,2000000.0,36461571.06279211,0,6329131,62015914.06279211
1,1,2015,17225212.000000004,2000000.0,69090126.25458549,0,21167983,109483321.25458549
1,1,2016,17272404.36164384,2000000.0,51016091.66785406,0,21177036,91465532.02949789
1,1,2017,17225212.000000004,2000000.0,58691217.79118393,0,11263658,89180087.79118393
1,1,2018,17225212.000000004,2000000.0,54141000.285630345,0,21102317,94468529.28563035
1,1,2019,17225212.000000004,2000000.0,28909786.728738464,0,15866300,64001298.72873847
1,1,2020,17272404.36164384,2000000.0,54275466.00061258,0,26110944,99658814.36225641
1,1,2021,17225212.000000004,2000000.0,46584185.68059149,0,21166938,86976335.6805915
2,2,2002,17225212.000000004,2000000.0,65374033.59844432,0,15788671,100387916.59844431
2,2,2003,17225212.000000004,2000000.0,23659603.084670044,0,965588,43850403.08467005
2,2,2004,17272404.36164384,2000000.0,46744577.27177213,0,16512824,82529805.63341597
2,2,2005,17225212.000000004,2000000.0,64752133.143716484,0,21267032,105244377.14371648
2,2,2006,17225212.000000004,2000000.0,34799769.32013801,0,1349609,55374590.32013801
2,2,2007,17225212.000000004,2000000.0,49472043.6613247,0,16117280,84814535.66132471
2,2,2008,17272404.36164384,2000000.0,46095686.660960495,0,11413119,76781210.02260433
