run,random_seed,year,windfarm
1,1,2002,900677.514
1,1,2003,1009206.355
1,1,2004,1203141.024
1,1,2005,1360901.74
1,1,2006,1537997.314
1,1,2007,1596176.654
1,1,2008,1602795.152
1,1,2009,1595131.568
1,1,2010,1594745.608
1,1,2011,1595457.219
1,1,2012,1600235.2
1,1,2013,1594202.157
1,1,2014,1596089.0
1,1,2015,1597022.814
1,1,2016,1601678.773
1,1,2017,1596832.733
1,1,2018,1596300.22
1,1,2019,1596334.325
1,1,2020,1602605.393
1,1,2021,1596158.339
2,2,2002,385748431.145
2,2,2003,282241074.027
2,2,2004,147530380.773
2,2,2005,68427658.873
2,2,2006,1593380.455
2,2,2007,1595072.961
2,2,2008,1600158.283
2,2,2009,1596120.042
2,2,2010,1596928.092
2,2,2011,1593682.833
2,2,2012,1600348.495
2,2,2013,1595289.476
2,2,2014,1596117.226
2,2,2015,1595525.406
2,2,2016,1603356.84
2,2,2017,1594530.583
2,2,2018,1595083.95
2,2,2019,1597214.473
2,2,2020,1603678.258
2,2,2021,1596298.199
