run,random_seed,time_based_availability,production_based_availability
1,1,0.9200977396434276,0.9199408962819935
2,2,0.9200089224601545,0.9196515319730112
3,3,0.9754225946025228,87.67552352913621
4,4,0.9740376780417849,120.51259893399467
5,5,0.9200333675564681,0.9196684312809299
6,6,0.9201425556533359,0.9200192027931892
7,7,0.9201312497962909,0.9201399774344124
8,8,0.9201046657540497,0.9199515042171816
9,9,0.9199691991786447,0.9197206094096799
10,10,0.9201134252468954,0.9199086582324719
11,11,0.9198159080538444,0.9194365312547984
12,12,0.9202743554642938,0.920317732064171
13,13,0.9201373610703693,0.919881906618488
14,14,0.9199936442749584,0.9197647446258982
15,15,0.9200931561878687,0.9200212615756271
16,16,0.9200642294905642,0.9197380773451636
17,17,0.9201457131449431,0.9199122140303851
18,18,0.9203377090055734,0.9202305729690342
19,19,0.9203261994393924,0.9202946871412261
20,20,0.9199412910270199,0.9195305376721591
21,21,0.9200059686776833,0.9194945328311193
22,22,0.9198195748182915,0.9195298658948398
23,23,0.9202260763990744,0.9200961208549288
24,24,0.920270179427007,0.9202025870083584
25,25,0.920208048140543,0.9200177490275915
26,26,0.9203817101789381,0.9204358889644272
27,27,0.9200983507708353,0.9198129360226579
28,28,0.9203700987581891,0.9203089143850475
29,29,0.9199673657964212,0.9194211072571752
30,30,0.9200531273426551,0.9198862335320294
