run,random_seed,year,operations_management_administration,insurance,annual_leases_fees,operating_facilities,environmental_health_safety_monitoring,onshore_electrical_maintenance,labor
1,1,2002,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2003,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2004,13488854.794520548,10678676.712328767,1528736.876712329,955460.5479452055,0.0,0.0,2810178.0821917807
1,1,2005,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2006,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2007,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2008,13488854.794520548,10678676.712328767,1528736.876712329,955460.5479452055,0.0,0.0,2810178.0821917807
1,1,2009,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2010,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2011,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2012,13488854.794520548,10678676.712328767,1528736.876712329,955460.5479452055,0.0,0.0,2810178.0821917807
1,1,2013,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2014,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2015,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2016,13488854.794520548,10678676.712328767,1528736.876712329,955460.5479452055,0.0,0.0,2810178.0821917807
1,1,2017,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2018,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2019,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
1,1,2020,13488854.794520548,10678676.712328767,1528736.876712329,955460.5479452055,0.0,0.0,2810178.0821917807
1,1,2021,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2002,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2003,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2004,13488854.794520548,10678676.712328767,1528736.876712329,955460.5479452055,0.0,0.0,2810178.0821917807
2,2,2005,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2006,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2007,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2008,13488854.794520548,10678676.712328767,1528736.876712329,955460.5479452055,0.0,0.0,2810178.0821917807
2,2,2009,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2010,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2011,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2012,13488854.794520548,10678676.712328767,1528736.876712329,955460.5479452055,0.0,0.0,2810178.0821917807
2,2,2013,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2014,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2015,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2016,13488854.794520548,10678676.712328767,1528736.876712329,955460.5479452055,0.0,0.0,2810178.0821917807
2,2,2017,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2018,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2019,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
2,2,2020,13488854.794520548,10678676.712328767,1528736.876712329,955460.5479452055,0.0,0.0,2810178.0821917807
2,2,2021,13452000.0,10649500.0,1524560.0000000002,952850.0,0.0,0.0,2802500.0
