run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,9671978.020833332,1165334.203613231,0.0,8008333.333333332
1,1,2003,24144774.222916666,1168528.5138311912,0.0,24033333.333333332
1,1,2004,33786169.984982975,1171732.859438185,1610635.5892732183,18544607.020164102
1,1,2005,24144774.222916666,1168527.4920138316,135700.58026041667,21528547.372383825
1,1,2006,19327730.499026056,1168527.8078576135,1591566.7037625962,8003291.666666666
1,1,2007,14495406.020833332,1168524.9145260986,261276.61434027777,24085060.185185183
1,1,2008,33803633.21294643,1171730.4382515508,1591549.0007537624,24027828.7037037
1,1,2009,9671978.020833332,1168529.5144595613,249093.71875,8008333.333333332
1,1,2010,28976653.62845096,1168531.381583123,1588741.9958784834,8484452.451811576
1,1,2011,9671978.020833332,1168525.5934682004,249089.0940451389,24041666.666666664
1,1,2012,19343956.041666668,1171732.7877688205,1715809.283674257,16033333.333333332
1,1,2013,0.0,1168527.3301115602,249089.80553819443,24044759.259259257
1,1,2014,9671978.020833332,1168530.005675991,1715796.309593187,31280765.364984334
1,1,2015,24127829.064463034,1168530.856975184,249097.2762152778,34661209.037802495
1,1,2016,24131015.69823139,1171728.223108914,1592697.797261454,24063400.503358554
1,1,2017,9671978.020833332,1168528.666631731,373429.2646875,37661662.76376999
1,1,2018,38623530.97556393,1168529.0737778626,1592875.3811084558,20449895.3406455
1,1,2019,19346468.243750002,1168528.9137220168,255575.2491270653,9498615.74074074
1,1,2020,43511340.083333336,1171729.9456790388,1463645.741122654,8024999.999999999
1,1,2021,38662790.0625,1168528.823428105,385393.91629720415,24053066.002047013
2,2,2002,24129127.1798303,1165338.2807423729,0.0,40086008.557896614
2,2,2003,14472796.202083332,1168526.3360805914,0.0,8019024.048892336
2,2,2004,9659353.554088827,1171734.2386650862,1593286.388441587,34137186.57523231
2,2,2005,33804692.84401786,1168524.4827832438,0.0,29965925.564090993
2,2,2006,0.0,1168532.7451973427,1590670.6872871504,32049805.3940498
2,2,2007,24131655.27228957,1168528.4098468272,124726.155625,10234564.53765646
2,2,2008,19305993.919812784,1171729.7848477603,1601746.0928838935,24056778.145157095
2,2,2009,9671978.020833332,1168529.4018445339,265556.6008159722,24032187.029140998
2,2,2010,24167384.041666668,1168528.5189857518,1592759.5270736965,24041666.666666664
2,2,2011,62755281.97542365,1168528.2963976695,265553.75484375,7999999.999999999
