run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2002,blade,repair,9750,0,1334.0416666666667,11084.041666666666
1,1,2002,converter,delay,0,0,2718.8139733796293,2718.8139733796293
1,1,2002,converter,repair,85800,0,8804.675,94604.67499999999
1,1,2002,drivetrain,delay,0,0,82979.5875636574,82979.5875636574
1,1,2002,drivetrain,repair,429000,0,1225613.5999999999,1654613.5999999999
1,1,2002,generator,delay,0,0,6797.016405092591,6797.016405092591
1,1,2002,generator,repair,78000,0,9338.291666666666,87338.29166666666
1,1,2002,pitch_system,delay,0,0,42141.783342592586,42141.783342592586
1,1,2002,pitch_system,repair,380185,0,69370.16666666666,449555.1666666667
1,1,2002,yaw_system,delay,0,0,2718.8139733796293,2718.8139733796293
1,1,2002,yaw_system,repair,48750,0,9338.291666666666,58088.291666666664
1,1,2003,array cable,repair,10000000,0,24117140.0,34117140.0
1,1,2003,blade,delay,0,0,65838.69897800926,65838.69897800926
1,1,2003,blade,maintenance,103350,0,56563.36666666666,159913.36666666667
1,1,2003,blade,repair,19500,0,2668.083333333333,22168.083333333332
1,1,2003,converter,delay,0,0,33635.63722222222,33635.63722222222
1,1,2003,converter,maintenance,103350,0,28281.683333333327,131631.68333333335
1,1,2003,converter,repair,46800,0,4802.55,51602.549999999996
1,1,2003,drivetrain,delay,0,0,3339008.184030093,3339008.184030093
1,1,2003,drivetrain,maintenance,413400,0,70704.20833333333,484104.2083333333
1,1,2003,drivetrain,repair,429000,0,1225613.5999999999,1654613.5999999999
1,1,2003,generator,delay,0,0,70086.32470138888,70086.32470138888
1,1,2003,generator,maintenance,309997,0,56563.36666666666,366560.3666666667
1,1,2003,generator,repair,288600,0,1601867.6583333332,1890467.6583333332
1,1,2003,pitch_system,delay,0,0,97691.13011574073,97691.13011574073
1,1,2003,pitch_system,maintenance,206700,0,42422.524999999994,249122.52500000002
1,1,2003,pitch_system,repair,263205,0,48025.49999999999,311230.5
1,1,2003,yaw_system,delay,0,0,42508.904197916665,42508.904197916665
1,1,2003,yaw_system,maintenance,154972,0,35352.104166666664,190324.10416666666
1,1,2003,yaw_system,repair,19500,0,3735.3166666666666,23235.316666666666
1,1,2004,array cable,delay,0,0,849594.5691319444,849594.5691319444
1,1,2004,array cable,maintenance,210000,0,645466.5,855466.5
1,1,2004,array cable,repair,25000000,0,33763996.0,58763996.0
1,1,2004,blade,delay,0,0,71661.67968287037,71661.67968287037
1,1,2004,blade,maintenance,103350,0,56563.36666666666,159913.36666666667
1,1,2004,blade,repair,29250,0,4002.1249999999995,33252.125
1,1,2004,converter,delay,0,0,37689.71573379629,37689.71573379629
1,1,2004,converter,maintenance,103350,0,28281.683333333327,131631.68333333335
1,1,2004,converter,repair,78000,0,8004.25,86004.25
1,1,2004,drivetrain,delay,0,0,2964177.515873843,2964177.515873843
1,1,2004,drivetrain,maintenance,397800,0,68036.125,465836.12499999994
1,1,2004,drivetrain,repair,1170000,0,6725441.888888889,7895441.888888889
1,1,2004,generator,delay,0,0,68718.89493634258,68718.89493634258
1,1,2004,generator,maintenance,309997,0,56563.36666666666,366560.3666666667
1,1,2004,generator,repair,31200,0,3735.3166666666666,34935.316666666666
1,1,2004,pitch_system,delay,0,0,120569.16650810184,120569.16650810184
1,1,2004,pitch_system,maintenance,206700,0,42422.524999999994,249122.52500000002
1,1,2004,pitch_system,repair,391883,0,71504.63333333332,463387.63333333336
1,1,2004,yaw_system,delay,0,0,46286.83608449074,46286.83608449074
1,1,2004,yaw_system,maintenance,154972,0,35352.104166666664,190324.10416666666
1,1,2004,yaw_system,repair,29250,0,5602.974999999999,34852.975
1,1,2005,array cable,delay,0,0,28115.35958333333,28115.35958333333
1,1,2005,array cable,maintenance,5000,0,15368.25,20368.25
1,1,2005,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2005,blade,delay,0,0,73448.77672222222,73448.77672222222
1,1,2005,blade,maintenance,103350,0,56563.36666666666,159913.36666666667
1,1,2005,blade,repair,19500,0,2668.083333333333,22168.083333333332
1,1,2005,converter,delay,0,0,39176.46811458333,39176.46811458333
1,1,2005,converter,maintenance,103350,0,28281.683333333327,131631.68333333335
1,1,2005,converter,repair,117000,0,12006.375,129006.37499999999
1,1,2005,drivetrain,delay,0,0,1155671.2511099537,1155671.2511099537
1,1,2005,drivetrain,maintenance,397800,0,68036.125,465836.12499999994
1,1,2005,drivetrain,repair,468000,0,2899736.9407407404,3367736.9407407404
1,1,2005,generator,delay,0,0,267141.9510833333,267141.9510833333
1,1,2005,generator,maintenance,304148,0,55496.13333333333,359644.13333333336
1,1,2005,generator,repair,319800,0,1605602.975,1925402.975
1,1,2005,pitch_system,delay,0,0,88860.03367939814,88860.03367939814
1,1,2005,pitch_system,maintenance,206700,0,42422.524999999994,249122.52500000002
1,1,2005,pitch_system,repair,263205,0,48282.89592824073,311487.89592824073
1,1,2005,yaw_system,delay,0,0,52183.70787499999,52183.70787499999
1,1,2005,yaw_system,maintenance,154972,0,35352.104166666664,190324.10416666666
1,1,2005,yaw_system,repair,29250,0,5602.974999999999,34852.975
1,1,2006,array cable,delay,0,0,832930.33453125,832930.33453125
1,1,2006,array cable,maintenance,205000,0,630098.25,835098.25
1,1,2006,array cable,repair,10000000,0,19293712.0,29293712.0
1,1,2006,blade,delay,0,0,67219.8767835648,67219.8767835648
1,1,2006,blade,maintenance,103350,0,56563.36666666666,159913.36666666667
1,1,2006,blade,repair,9750,0,1334.0416666666665,11084.041666666666
1,1,2006,converter,delay,0,0,53074.217744212954,53074.217744212954
1,1,2006,converter,maintenance,103350,0,28281.683333333327,131631.68333333335
1,1,2006,converter,repair,124800,0,12806.8,137606.8
1,1,2006,drivetrain,delay,0,0,1556352.924744213,1556352.924744213
1,1,2006,drivetrain,maintenance,413400,0,70704.20833333333,484104.2083333333
1,1,2006,drivetrain,repair,448500,0,1227748.0666666667,1676248.0666666667
1,1,2006,export cable,delay,0,0,16648.9375,16648.9375
1,1,2006,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2006,generator,delay,0,0,498827.6416145833,498827.6416145833
1,1,2006,generator,maintenance,304148,0,55496.133333333324,359644.13333333336
1,1,2006,generator,repair,198900,0,807470.6333333333,1006370.6333333333
1,1,2006,pitch_system,delay,0,0,120427.05401388888,120427.05401388888
1,1,2006,pitch_system,maintenance,206700,0,42422.524999999994,249122.52500000002
1,1,2006,pitch_system,repair,368487,0,66978.30407175925,435465.3040717593
1,1,2006,yaw_system,delay,0,0,48666.58113425926,48666.58113425926
1,1,2006,yaw_system,maintenance,154972,0,35352.104166666664,190324.10416666666
1,1,2006,yaw_system,repair,53625,0,10272.120833333332,63897.120833333334
1,1,2007,array cable,delay,0,0,46150.28555555556,46150.28555555556
