windspeed_ms,power_kw
3.0,37
3.5,88
4.0,157
4.5,245
5.0,355
5.5,489
6.0,651
6.5,841
7.0,1063
7.5,1319
8.0,1612
8.5,1943
9.0,2316
9.5,2733
10.0,3196
10.5,3708
11.0,4271
11.5,4887
12.0,5560
12.5,5560
13.0,5560
13.5,5560
14.0,5560
14.5,5560
15.0,5560
15.5,5560
16.0,5560
16.5,5560
17.0,5560
17.5,5560
18.0,5560
18.5,5560
19.0,5560
19.5,5560
20.0,5560
20.5,5560
21.0,5560
21.5,5560
22.0,5560
22.5,5560
23.0,5560
23.5,5560
24.0,5560
24.5,5560
25.0,5560
25.5,5560
26.0,5560
26.5,5560
27.0,5560
27.5,5560
28.0,5560
