windspeed_ms,power_kw
3.5,168
4.0,393
4.5,681
5.0,1040
5.5,1479
6.0,2006
6.5,2628
7.0,3354
7.5,4191
8.0,5148
8.5,6232
9.0,7451
9.5,8813
10.0,10327
10.5,12000
11.0,12000
11.5,12000
12.0,12000
12.5,12000
13.0,12000
13.5,12000
14.0,12000
14.5,12000
15.0,12000
15.5,12000
16.0,12000
16.5,12000
17.0,12000
17.5,12000
18.0,12000
18.5,12000
19.0,12000
19.5,12000
20.0,12000
20.5,12000
21.0,12000
21.5,12000
22.0,12000
22.5,12000
23.0,12000
23.5,12000
24.0,12000
24.5,12000
25.0,12000
25.5,12000
26.0,12000
26.5,12000
27.0,12000
27.5,12000
28.0,12000
28.5,12000
29.0,12000
29.5,12000
30.0,12000
30.5,12000
31.0,12000
31.5,12000
32.0,12000
32.5,12000
33.0,12000
33.5,12000
34.0,12000
