windspeed_ms,power_kw
3.5,197
4.0,458
4.5,794
5.0,1214
5.5,1726
6.0,2341
6.5,3067
7.0,3913
7.5,4890
8.0,6006
8.5,7271
9.0,8693
9.5,10283
10.0,12050
10.5,14002
11.0,16149
11.5,18500
12.0,18500
12.5,18500
13.0,18500
13.5,18500
14.0,18500
14.5,18500
15.0,18500
15.5,18500
16.0,18500
16.5,18500
17.0,18500
17.5,18500
18.0,18500
18.5,18500
19.0,18500
19.5,18500
20.0,18500
20.5,18500
21.0,18500
21.5,18500
22.0,18500
22.5,18500
23.0,18500
23.5,18500
24.0,18500
24.5,18500
25.0,18500
25.5,18500
26.0,18500
26.5,18500
27.0,18500
27.5,18500
28.0,18500
28.5,18500
29.0,18500
29.5,18500
30.0,18500
