windspeed_ms,power_kw
4.5,111
5.0,250
5.5,420
6.0,624
6.5,865
7.0,1145
7.5,1469
8.0,1839
8.5,2258
9.0,2729
9.5,3256
10.0,3842
10.5,4489
11.0,5200
11.5,5980
12.0,6830
12.5,7754
13.0,8755
13.5,9836
14.0,11000
14.5,11000
15.0,11000
15.5,11000
16.0,11000
16.5,11000
17.0,11000
17.5,11000
18.0,11000
18.5,11000
19.0,11000
19.5,11000
20.0,11000
20.5,11000
21.0,11000
21.5,11000
22.0,11000
22.5,11000
23.0,11000
23.5,11000
24.0,11000
24.5,11000
25.0,11000
25.5,11000
26.0,11000
26.5,11000
27.0,11000
27.5,11000
28.0,11000
28.5,11000
29.0,11000
29.5,11000
30.0,11000
30.5,11000
31.0,11000
31.5,11000
32.0,11000
