windspeed_ms,power_kw
3.5,131
4.0,305
4.5,528
5.0,807
5.5,1147
6.0,1556
6.5,2038
7.0,2601
7.5,3250
8.0,3992
8.5,4832
9.0,5778
9.5,6834
10.0,8008
10.5,9306
11.0,10733
11.5,12295
12.0,14000
12.5,14000
13.0,14000
13.5,14000
14.0,14000
14.5,14000
15.0,14000
15.5,14000
16.0,14000
16.5,14000
17.0,14000
17.5,14000
18.0,14000
18.5,14000
19.0,14000
19.5,14000
20.0,14000
20.5,14000
21.0,14000
21.5,14000
22.0,14000
22.5,14000
23.0,14000
23.5,14000
24.0,14000
24.5,14000
25.0,14000
25.5,14000
26.0,14000
26.5,14000
27.0,14000
27.5,14000
28.0,14000
28.5,14000
29.0,14000
29.5,14000
30.0,14000
30.5,14000
31.0,14000
31.5,14000
32.0,14000
