windspeed_ms,power_kw
3.5,89
4.0,207
4.5,358
5.0,547
5.5,778
6.0,1056
6.5,1383
7.0,1765
7.5,2205
8.0,2709
8.5,3279
9.0,3921
9.5,4638
10.0,5434
10.5,6314
11.0,7283
11.5,8343
12.0,9500
12.5,9500
13.0,9500
13.5,9500
14.0,9500
14.5,9500
15.0,9500
15.5,9500
16.0,9500
16.5,9500
17.0,9500
17.5,9500
18.0,9500
18.5,9500
19.0,9500
19.5,9500
20.0,9500
20.5,9500
21.0,9500
21.5,9500
22.0,9500
22.5,9500
23.0,9500
23.5,9500
24.0,9500
24.5,9500
25.0,9500
25.5,9500
26.0,9500
26.5,9500
27.0,9500
27.5,9500
28.0,9500
28.5,9500
29.0,9500
29.5,9500
30.0,9500
30.5,9500
31.0,9500
