,Turbine,Average Time-Based Availability,Average Production-Based Availability,Annual Power Production,Operations,Port Fees,Labor Cost,Materials Cost,Fixed Costs,Equipment Cost,  - Vessel: Cable Laying Vessel,  - Vessel: Crew Transfer Vessel,  - Vessel: Diving Support Vessel,  - Vessel: Heavy Lift Vessel,Total OpEx,OpEx per MWh
0,V112-3.45_base,94.79217668644004,206.2822778085764,401305.68326,52.455904109589056,14.492753623188406,,77.08712995169083,52.455904109589056,244.8023644825395,121.17228938958995,8.472243103255424,5.111091932056075,110.04674005763805,441.2940562765969,164.87396243786236
1,IEC-II-12MW Ref_base,92.63712501469172,391468.3681828156,18554098.65702328,52.45590410958905,2.525252525252525,,23.578489225589223,52.45590410958905,65.40380973267845,33.96658019924923,1.4762245159673961,1.3483365271404701,28.61266849032136,196.41935970269827,52.19966416502611
2,CSSC-H260-18_base,94.52354136851056,2341.585226620755,2816589.70443,52.45590410958905,2.525252525252525,,17.583749528619528,52.45590410958905,46.899113416861645,23.777235485738426,1.4762241288391034,0.9784248902233009,20.66722891206082,171.91992368991177,68.16805866159162
3,V236-15.0 MW_base,93.48797311510883,2126.4678335604285,31202072.325086668,52.45590410958904,2.5157232704402515,,20.226686498951782,52.45590410958904,54.65899839227606,27.961654401984177,1.4706526890218077,1.1479442953800767,24.078747005890005,182.3132163808462,49.807417140267304
4,N163-6.X_base,93.65504030724769,1367.489918864159,3032460.967776666,52.45590410958904,4.901960784313726,,40.60464363562092,52.45590410958904,118.52914062701853,61.35789057785393,2.8656108829052895,2.4504141833220485,51.85522498293729,268.94755326613125,92.54284065925157
5,V164-9.5 MW_base,92.37530488467345,779.8181915860963,5580932.644669999,52.45590410958904,3.7593984962406015,,29.789636604010028,52.45590410958904,84.78051577173042,44.184620844131,2.197685707095063,1.7719888263246493,36.62622039417971,223.24135909115913,104.79108083430336
6,V174-9.5 MW_base,93.09253670632864,2805.9719957618095,1977044.8957599998,52.45590410958905,3.189792663476874,,29.057163545986178,52.45590410958904,83.41235058884,43.0695863149083,1.864704309337852,1.7146149757019131,36.763444988891926,220.5711150174811,71.7593452343758
7,IEA 15 MW Reference_base,93.83363395164565,648.2234633158836,3223404.628356667,52.45590410958904,2.5157232704402515,,20.504547716981133,52.45590410958904,55.564849146218876,28.35581899366262,1.4706529860869924,1.1404305861803936,24.597946580288877,183.49692835281832,46.22376222912258
8,SG 11.0-200 DD_base,94.32481520969715,181.00694169265765,1242024.929903333,52.45590410958904,3.4965034965034967,,26.963441491841493,52.45590410958904,75.84013165278948,39.00983543420697,2.0440014100231654,1.550947345212273,33.23534746334706,211.21188486031255,98.76884181223342
9,Haliade-X 14 MW_base,93.5394226497112,2895.1732462132327,2994024.137963333,52.45590410958905,2.506265664160401,,21.34246131370092,52.45590410958905,58.191889631593845,30.052358217783976,1.4651241236026857,1.2021105753190775,25.47229671488811,186.95242482863327,50.827759539496824
10,SWT-3.6-107_base,93.55649312685375,135.10178845444446,317400.91640833335,52.45590410958905,8.680555555555555,,68.74775420283565,52.45590410958904,215.70816986922617,108.74413562818685,5.074518484654938,4.477505728184292,97.4120100282001,398.0482878467954,293.54272566543773
11,IEC-III-10MW Ref_base,93.01883951884807,188123.90768086963,2695643.36951,52.45590410958905,3.3333333333333335,,28.250270083333334,52.45590410958905,79.68062847828071,41.309072604255554,1.9486156040616411,1.6594363357476596,34.763503934215855,216.1760401141255,49.36248279124718
12,SG 14-236 DD_base,93.83633869829339,1936.3447147345073,10194183.815826865,52.45590410958905,2.506265664160401,,20.648216267752716,52.45590410958905,56.726774776008654,28.78441255324347,1.465124064030093,1.2103186596386195,25.26691949909648,184.79306492709986,60.20555105268196
13,MySE12-242_base,93.33022043869398,2300.5081202761567,40330131.77255501,52.455904109589035,2.6881720430107525,,23.35281886200717,52.455904109589035,65.07105161905139,33.642569449409834,1.5714645907563134,1.3657624722309771,28.491255106654265,196.02385074324732,37.45575289171518
14,MySE 18.5-260_base,94.65478009646148,3716.5056220811102,37670874.95487264,52.45590410958905,2.5141420490257698,,17.17538215168657,52.45590410958905,46.118180875434355,23.169869390585283,1.4697291139293551,0.9504845370250967,20.528097833894623,170.71951329532476,48.85895895415855
15,V162-6.2 MW_base,93.7106939762978,298600.64788108476,4200753.621945,52.45590410958904,6.086427267194157,,45.3778705569081,52.45590410958904,133.90549723058953,68.99711386122112,3.558030120056045,2.772229897012544,58.578123352299826,290.28160327386985,71.63746345589594
16,Dongfang DEW 10MW-185_base,93.32638444233461,1710.484536722769,9913682.22888,52.455904109589035,3.225806451612903,,27.57535582795699,52.455904109589035,78.68508953363535,40.26808435331884,1.8857570569083342,1.6368483497970154,34.89439977361117,214.3980600323833,67.42834815475217
17,SG 14-222 DD_base,93.68187794949385,63256.909727046535,25548422.081505,52.45590410958905,2.506265664160401,,21.245801230158733,52.45590410958905,57.67184698882418,29.723907029661937,1.4651242678796799,1.2031684317391753,25.279647259543385,186.3357221023214,59.07609831924201
